Year,Type of Dwelling,Region and County,County,Average Floor Area per Unit,Planning Permissions Granted,Total Floor Area for which Permission Granted,Units for which Permission Granted
2004,Houses,Carlow,Carlow,144,260,127,879
2004,Houses,Cavan,Cavan,160,968,425,2655
2004,Houses,Clare,Clare,167,1047,313,1869
2004,Houses,Cork,Cork,149,2670,985,6612
2004,Houses,Donegal,Donegal,171,2798,834,4891
2004,Houses,Dublin,Dublin,113,1189,687,6097
2004,Houses,Galway,Galway,171,2517,680,3973
2004,Houses,Kerry,Kerry,159,1624,499,3141
2004,Houses,Kildare,Kildare,138,589,429,3110
2004,Houses,Kilkenny,Kilkenny,135,630,366,2715
2004,Houses,Laois,Laois,125,445,326,2603
2004,Houses,Leitrim,Leitrim,155,504,193,1249
2004,Houses,Limerick,Limerick,150,929,422,2809
2004,Houses,Longford,Longford,160,416,156,973
2004,Houses,Louth,Louth,164,546,179,1093
2004,Houses,Mayo,Mayo,152,1580,529,3472
2004,Houses,Meath,Meath,148,540,384,2597
2004,Houses,Monaghan,Monaghan,185,684,245,1327
2004,Houses,Offaly,Offaly,135,478,208,1539
2004,Houses,Roscommon,Roscommon,155,877,326,2107
2004,Houses,Sligo,Sligo,150,574,195,1296
2004,Houses,Waterford,Waterford,168,623,200,1192
2004,Houses,Westmeath,Westmeath,141,411,205,1449
2004,Houses,Wexford,Wexford,137,1297,518,3769
2004,Houses,Wicklow,Wicklow,141,226,156,1109
2004,Multi development houses,Carlow,Carlow,117,22,75,641
2004,Multi development houses,Cavan,Cavan,129,166,239,1853
2004,Multi development houses,Clare,Clare,125,79,113,901
2004,Multi development houses,Cork,Cork,120,237,500,4179
2004,Multi development houses,Donegal,Donegal,134,264,316,2357
2004,Multi development houses,Dublin,Dublin,107,197,545,5105
2004,Multi development houses,Galway,Galway,121,95,187,1551
2004,Multi development houses,Kerry,Kerry,131,174,221,1691
2004,Multi development houses,Kildare,Kildare,120,61,311,2582
2004,Multi development houses,Kilkenny,Kilkenny,111,47,236,2132
2004,Multi development houses,Laois,Laois,108,40,238,2198
2004,Multi development houses,Leitrim,Leitrim,132,60,106,805
2004,Multi development houses,Limerick,Limerick,126,74,247,1954
2004,Multi development houses,Longford,Longford,131,40,78,597
2004,Multi development houses,Louth,Louth,111,47,66,594
2004,Multi development houses,Mayo,Mayo,117,124,236,2016
2004,Multi development houses,Meath,Meath,130,72,276,2129
2004,Multi development houses,Monaghan,Monaghan,128,44,88,687
2004,Multi development houses,Offaly,Offaly,107,37,117,1098
2004,Multi development houses,Roscommon,Roscommon,131,87,172,1317
2004,Multi development houses,Sligo,Sligo,114,50,88,772
2004,Multi development houses,Waterford,Waterford,126,40,77,609
2004,Multi development houses,Westmeath,Westmeath,114,29,122,1067
2004,Multi development houses,Wexford,Wexford,108,112,280,2584
2004,Multi development houses,Wicklow,Wicklow,130,27,118,910
2004,One off houses,Carlow,Carlow,218,238,52,238
2004,One off houses,Cavan,Cavan,232,802,186,802
2004,One off houses,Clare,Clare,206,968,199,968
2004,One off houses,Cork,Cork,199,2433,485,2433
2004,One off houses,Donegal,Donegal,204,2534,517,2534
2004,One off houses,Dublin,Dublin,143,992,142,992
2004,One off houses,Galway,Galway,204,2422,493,2422
2004,One off houses,Kerry,Kerry,192,1450,278,1450
2004,One off houses,Kildare,Kildare,222,528,117,528
2004,One off houses,Kilkenny,Kilkenny,223,583,130,583
2004,One off houses,Laois,Laois,217,405,88,405
2004,One off houses,Leitrim,Leitrim,196,444,87,444
2004,One off houses,Limerick,Limerick,205,855,175,855
2004,One off houses,Longford,Longford,207,376,78,376
2004,One off houses,Louth,Louth,228,499,114,499
2004,One off houses,Mayo,Mayo,201,1456,293,1456
2004,One off houses,Meath,Meath,229,468,107,468
2004,One off houses,Monaghan,Monaghan,245,640,157,640
2004,One off houses,Offaly,Offaly,206,441,91,441
2004,One off houses,Roscommon,Roscommon,195,790,154,790
2004,One off houses,Sligo,Sligo,204,524,107,524
2004,One off houses,Waterford,Waterford,211,583,123,583
2004,One off houses,Westmeath,Westmeath,217,382,83,382
2004,One off houses,Wexford,Wexford,201,1185,238,1185
2004,One off houses,Wicklow,Wicklow,196,199,39,199
2004,Private flats/apartments,Carlow,Carlow,70,24,16,229
2004,Private flats/apartments,Cavan,Cavan,88,31,25,284
2004,Private flats/apartments,Clare,Clare,81,43,26,321
2004,Private flats/apartments,Cork,Cork,77,156,72,931
2004,Private flats/apartments,Donegal,Donegal,75,60,31,411
2004,Private flats/apartments,Dublin,Dublin,76,465,1376,18099
2004,Private flats/apartments,Galway,Galway,71,62,18,252
2004,Private flats/apartments,Kerry,Kerry,89,60,54,606
2004,Private flats/apartments,Kildare,Kildare,75,62,88,1172
2004,Private flats/apartments,Kilkenny,Kilkenny,77,43,42,548
2004,Private flats/apartments,Laois,Laois,63,29,35,552
2004,Private flats/apartments,Leitrim,Leitrim,83,20,16,192
2004,Private flats/apartments,Limerick,Limerick,76,34,25,330
2004,Private flats/apartments,Longford,Longford,43,8,1,23
2004,Private flats/apartments,Louth,Louth,86,49,36,418
2004,Private flats/apartments,Mayo,Mayo,71,67,26,367
2004,Private flats/apartments,Meath,Meath,78,66,92,1175
2004,Private flats/apartments,Monaghan,Monaghan,70,32,21,299
2004,Private flats/apartments,Offaly,Offaly,68,21,11,162
